,title,summary,sentiment,score
21,34 more deaths take monsoon fury toll in north India to 150,"The toll in the northern states ravaged by rains for the last six days reached 150 Thursday with 34 fresh casualties reported in the last 24 hours. The flood situation remained grim in Punjab, Haryana and Uttar Pradesh even as relief teams rescued more than 1,000 stranded tourists and locals from Himachal Pradesh’s Lahaul Spiti and Kinnaur districts — including 255 people stuck in the picturesque Chandrataal area.",Positive,0.6705
22,PM Modi conferred with France's highest honour,"French President Emmanuel Macron awarded Indian Prime Minister Narendra Modi with the highest French honour, the Grand Cross of the Legion of Honour. The ceremony was held at the Elysee Palace as part of Modi's two-day visit to Paris.",Positive,0.9201
23,This is just the start: Jaiswal after ton on Test debut,"As Yashasvi Jaiswal etched his name into record books, becoming just the third Indian opener and 17th overall to score a century on Test debut, the rising young talent after a memorable outing said it is just the beginning and he's looking forward to contributing more in the future. Resuming on the overnight score of 40, Jaiswal, on Day 2 of the ongoing Test against West Indies in Dominica, went on to slam his first ton and remained unbeaten on 143 at the close of play as India took a 162-run first innings lead.",Positive,0.7783
24,Assam’s BJP govt says it wants to ban polygamy ‘immediately’,Assam chief minister Himanta Biswa Sarma said on Thursday his government wants “to take up one of the segments of Uniform Civil Code (UCC)” and ban polygamy in the state “immediately” by tabling a bill in the assembly. The Assam government set up a four-member expert committee in May to examine if polygamy can be banned in the state through a state law. The committee headed by retired Gauhati high court judge Rumi Phukan has been given 60 days to submit its report.,Negative,-0.765
25,Govt gives nod to acquisition of 26 naval Rafale jets,"The defence ministry on Thursday approved the acquisition of 26 Rafale-Marine fighter jets and three Scorpene diesel-electric submarines from France, paving the way for the formal announcement of the two proposed mega deals at the Modi-Macron summit on Friday.",Positive,0.5859
26,European Parliament calls for end to Manipur violence,"The European Parliament adopted at its plenary session in France's Strasbourg late Wednesday a joint motion by six political groups seeking decisive steps to end the ""ethnic and religious violence"" in the northeastern state.",Negative,-0.4939
27,HC: Must differentiate age of consent from age of marriage,"While acquitting a 25-year-old in a case of consensual sexual relatiosnhip with a 17-year-old, the Bombay HC noted that criminalisation of adolescents’ romantic relationships is overburdening the system by “consuming significant time of the judiciary, police and the child protection system and ultimately when the victim turns hostile by not supporting the charge against the accused… (resulting) in an acquittal.”",Negative,-0.0788
28,"Yamuna rages, national capital Delhi drowns in misery",Continuous water discharge from the Hathnikund barrage in Yamuna Nagar district of Haryana on Thursday led to the worst flooding in the capital in 45 years. The water began flowing into some of Delhi’s main arteries like Ring Road and GT Karnal Road and inundated the residential area of Civil Lines and transport hub ISBT at Kashmere Gate besides the low-lying areas near Kalindi Kunj.,Positive,0.0601
29,1st Test: Yashasvi slams ton on debut as India take control,"Young Yashasvi Jaiswal scored a mature century on debut and added a record 229 runs for the opening wicket with his skipper Rohit Sharma, who scored his 10th hundred, as India seized complete control of the first Test against West Indies on Friday. Debutant Jaiswal scored an unbeaten 143, off 350 balls, and along with Virat Kohli (36*) powered India to 312/2 at stumps on the second day.",Positive,0.7906
30,‘Send Seema back or face hit like 26/11’: Mumbai cops get threat,"The security agencies have begun probing a series of WhatsApp messages, sent by an unidentified person to the city traffic police control room threatening a 26/11-type terror attack if Seema Haider, a Pakistani national, was not sent back to Pakistan. Seema, along with her four children, had entered India illegally via Nepal to be with her PUBG friend in Greater Noida in May this year.",Negative,-0.4215
31,NMC notifies deferment of NExT for 2019 MBBS batch,"NEW DELHI: The National Medical Commission (NMC) on Thursday released a public notice announcing that the National Exit Test ( NExT ) has been deferred for final year MBBS students of the 2019 batch.
This follows a directive sent by the health ministry in this regard, the NMC said.There was, however, no announcement on the mock NExT to be held on July 28.
The NMC had recently introduced the regulations for NExT 2023, outlining that the exam would be held in two phases in a year.Once students clear the NExT Step 1 exam, they would have to complete their one-year internship.
It would serve as a licentiate examination.Additionally, NExT would be used to determine eligibility and ranking for admission to PG medical education in various medical specialisations.
It would serve as an entrance exam for PG medical courses.",Neutral,0.0
32,Countries must unitedly fight borderless online crimes: Shah,"Stating that no country or organisation can combat cyber threats in isolation, Shah, at the G-20 event attended by 900 delegates from member countries, nine guest nations and organisations like Interpol etc, urged all nations to rise above geographical boundaries and unitedly fight “borderless” online crimes like cyber-terror, online radicalisation, sale of critical personal data and ‘toolkit-based’ misinformation campaigns, as also the growing tendency to target critical information, digital public infrastructure and financial systems.Shah called upon the G-20 mechanism to bring uniformity in laws of member countries to counter digital crimes.
“Today, all the governments of the world are promoting digital means in governance and public welfare,” he said.
Metaverse, he added, also creates opportunities for true imitation of a user’s identity.
Shah specifically mentioned misinformation campaigns based on toolkits as a new cyberspace concern.The G-20 has thus far focused on digital transformation and data flow from an economic perspective.
This is the first G-20 conference on cyber security in the G-20, and assumes importance as the endeavour is to stay ahead in the era of NFTs, AI, Metaverse and other emerging technologies by responding in a timely manner.",Negative,-0.3818
33,"Ties rooted in trust, commitment: PM Modi","Ahead of his formal talks with French President Emmanuel Macron on Friday, PM Narendra Modi said he was looking forward to holding wide-ranging discussions on taking forward the “long-standing and time-tested” partnership with France over the next 25 years.",Neutral,0.0
